,species_common_name,period,ace_transfer_price,starting_year,fishing_year,wt_ace_2,wt_ace_1
268,Blue shark,Starting Oct 2019,0.0493,2019,2019,0.012325,
268,Blue shark,Starting Oct 2019,0.0493,2019,2020,,0.036975
269,Blue shark,Starting Oct 2020,0.0402,2020,2020,0.01005,
269,Blue shark,Starting Oct 2020,0.0402,2020,2021,,0.03015
270,Blue shark,Starting Oct 2021,0.0503,2021,2021,0.012575,
270,Blue shark,Starting Oct 2021,0.0503,2021,2022,,0.037725
271,Blue Warehou,Starting Oct 2001,0.252821805,2001,2001,0.063205451,
271,Blue Warehou,Starting Oct 2001,0.252821805,2001,2002,,0.189616353
272,Blue Warehou,Starting Oct 2002,0.270146985,2002,2002,0.067536746,
272,Blue Warehou,Starting Oct 2002,0.270146985,2002,2003,,0.202610239
273,Blue Warehou,Starting Oct 2003,0.267854609,2003,2003,0.066963652,
273,Blue Warehou,Starting Oct 2003,0.267854609,2003,2004,,0.200890957
274,Blue Warehou,Starting Oct 2004,0.255490183,2004,2004,0.063872546,
274,Blue Warehou,Starting Oct 2004,0.255490183,2004,2005,,0.191617638
275,Blue Warehou,Starting Oct 2005,0.283028372,2005,2005,0.070757093,
275,Blue Warehou,Starting Oct 2005,0.283028372,2005,2006,,0.212271279
276,Blue Warehou,Starting Oct 2006,0.249346888,2006,2006,0.062336722,
276,Blue Warehou,Starting Oct 2006,0.249346888,2006,2007,,0.187010166
277,Blue Warehou,Starting Oct 2007,0.601077875,2007,2007,0.150269469,
277,Blue Warehou,Starting Oct 2007,0.601077875,2007,2008,,0.450808406
278,Blue Warehou,Starting Oct 2008,0.56568342,2008,2008,0.141420855,
278,Blue Warehou,Starting Oct 2008,0.56568342,2008,2009,,0.424262565
279,Blue Warehou,Starting Oct 2009,0.324166314,2009,2009,0.081041579,
279,Blue Warehou,Starting Oct 2009,0.324166314,2009,2010,,0.243124736
280,Blue Warehou,Starting Oct 2010,0.317558359,2010,2010,0.07938959,
280,Blue Warehou,Starting Oct 2010,0.317558359,2010,2011,,0.238168769
281,Blue Warehou,Starting Oct 2011,0.34129078,2011,2011,0.085322695,
281,Blue Warehou,Starting Oct 2011,0.34129078,2011,2012,,0.255968085
282,Blue Warehou,Starting Oct 2012,0.331475366,2012,2012,0.082868842,
282,Blue Warehou,Starting Oct 2012,0.331475366,2012,2013,,0.248606525
283,Blue Warehou,Starting Oct 2013,0.351546996,2013,2013,0.087886749,
283,Blue Warehou,Starting Oct 2013,0.351546996,2013,2014,,0.263660247
284,Blue Warehou,Starting Oct 2014,0.285445271,2014,2014,0.071361318,
284,Blue Warehou,Starting Oct 2014,0.285445271,2014,2015,,0.214083953
285,Blue Warehou,Starting Oct 2015,0.387282471,2015,2015,0.096820618,
